Expert_ID,Q_ID,SPP_ID,Q5th,Q50th,Q95th
6,1A,19,1300,1450,1500
7,1A,19,1300,1400,1500
8,1A,19,1500,1550,1700
9,1A,19,1400,1500,1600
10,1A,19,1300,1450,1500
11,1A,19,1400,1500,1600
12,1A,19,1400,1500,1600
13,1A,19,1450,1500,1600
14,1A,19,1450,1452,1470
15,1A,19,1500,1600,1700
16,1A,19,1450,1500,1550
17,1A,19,1390,1452,1500
2,1A,20,1150,1250,1400
3,1A,20,900,1200,1600
4,1A,20,800,1500,1600
5,1A,20,1400,1450,1600
6,1A,20,700,1000,1400
7,1A,20,900,1050,1200
8,1A,20,500,600,800
9,1A,20,900,1100,1200
10,1A,20,800,1400,1600
11,1A,20,800,900,1000
12,1A,20,1000,1600,1650
13,1A,20,800,1600,1700
14,1A,20,1000,1400,1450
15,1A,20,1600,1700,1800
16,1A,20,1000,1500,1600
17,1A,20,900,1000,1100
5,1A,21,1600,1600,1800
7,1A,21,1500,1600,1700
9,1A,21,1500,1600,1650
11,1A,21,1600,1700,1750
13,1A,21,1550,1600,1650
17,1A,21,1600,1650,1800
1,1A,22,600,800,900
2,1A,22,5,15,50
3,1A,22,0,100,1800
4,1A,22,0,10,200
5,1A,22,0,10,50
6,1A,22,0,1,2
7,1A,22,0,0,20
8,1A,22,0,10,50
9,1A,22,50,200,500
10,1A,22,0,1,2
11,1A,22,5,10,20
12,1A,22,0,50,100
13,1A,22,10,50,100
14,1A,22,0,0,10
16,1A,22,5,30,50
17,1A,22,1,2,10
5,1A,23,900,1000,1200
9,1A,23,1000,1100,1300
13,1A,23,0,5,10
17,1A,23,1100,1200,1500
5,1A,24,900,1125,1150
7,1A,24,900,1000,1100
9,1A,24,1000,1050,1100
13,1A,24,950,1050,1100
17,1A,24,900,1000,1100
1,1A,25,1090,1100,1150
2,1A,25,850,900,1000
3,1A,25,800,900,1100
4,1A,25,900,950,1100
5,1A,25,900,1000,1100
6,1A,25,1000,1000,1200
7,1A,25,900,1000,1100
8,1A,25,700,1000,1100
9,1A,25,1000,1050,1100
10,1A,25,950,1000,1200
11,1A,25,850,1000,1100
12,1A,25,900,1000,1050
13,1A,25,850,900,1000
14,1A,25,800,900,1000
16,1A,25,500,800,900
17,1A,25,900,1000,1100
4,1A,26,1250,1450,1550
8,1A,26,800,900,1000
1,1A,27,750,1050,1100
3,1A,27,750,1100,1150
4,1A,27,900,1000,1200
5,1A,27,750,1050,1100
6,1A,27,900,900,1200
8,1A,27,900,1000,1100
9,1A,27,1000,1050,1100
10,1A,27,900,1000,1200
11,1A,27,900,1100,1300
12,1A,27,800,950,1000
13,1A,27,900,1050,1100
15,1A,27,750,925,1100
16,1A,27,800,1050,1100
17,1A,27,750,850,1000
2,1A,28,1000,1050,1100
3,1A,28,700,800,1100
4,1A,28,850,875,900
5,1A,28,900,1047,1100
6,1A,28,1000,1047,1100
7,1A,28,900,1050,1100
8,1A,28,900,1000,1100
9,1A,28,1100,1150,1200
10,1A,28,1000,1047,1100
11,1A,28,800,1000,1100
12,1A,28,950,1020,1120
13,1A,28,1000,1050,1100
14,1A,28,950,1050,1150
15,1A,28,1047,1273.5,1500
16,1A,28,900,1047,1100
17,1A,28,900,1047,1150
4,1A,29,1350,1400,1420
8,1A,29,1200,1450,1600
14,1A,29,1407,1561,1600
1,1A,30,700,1000,1100
2,1A,30,600,800,1000
3,1A,30,800,900,1100
4,1A,30,800,950,1000
5,1A,30,1000,1050,1100
6,1A,30,800,1000,1100
7,1A,30,600,850,1000
8,1A,30,800,1000,1200
9,1A,30,800,900,1100
10,1A,30,800,1000,1100
11,1A,30,700,900,1100
12,1A,30,950,960,1000
13,1A,30,900,1000,1200
14,1A,30,800,960,1050
16,1A,30,800,900,1100
17,1A,30,850,960,1050
1,1A,31,900,1000,1200
2,1A,31,1200,1350,1450
3,1A,31,850,1000,1100
4,1A,31,900,1000,1100
5,1A,31,800,850,1000
6,1A,31,900,1000,1300
7,1A,31,1000,1400,1600
8,1A,31,750,800,950
9,1A,31,1000,1000,1200
10,1A,31,900,1000,1300
11,1A,31,1200,1400,1600
12,1A,31,900,1000,1200
13,1A,31,800,900,1000
14,1A,31,1300,1450,1600
16,1A,31,1000,1300,1500
17,1A,31,1450,1500,1600
1,1A,32,1200,1300,1500
2,1A,32,900,1050,1200
3,1A,32,1000,1100,1380
4,1A,32,1000,1300,1400
5,1A,32,1200,1350,1400
6,1A,32,1000,1300,1400
7,1A,32,900,1100,1300
8,1A,32,900,1000,1100
9,1A,32,1300,1450,1500
10,1A,32,1000,1300,1400
11,1A,32,850,1000,1100
12,1A,32,1200,1381,1390
13,1A,32,1200,1400,1500
14,1A,32,950,1050,1100
15,1A,32,1300,1350,1400
16,1A,32,1000,1300,1400
17,1A,32,850,1000,1100
2,1A,33,650,750,800
3,1A,33,1500,1600,2228
4,1A,33,1100,1180,1300
