Name,Family,Genus,Species,Common_name,Growth_form,Leaf_length_lower,Leaf_length_upper,Leaf Width Lower,Leaf Width Upper,Leaf_size_source,Leaf_area_mm2,Leaf_area_source,Perenniality,Perenniality_source,Mean_ht_mm,Ht_source,SLA_mm2mg1,SLA_source,Resprouter,Resprouting Source,Diaspore_mg,Diaspore_source,Dispersal_mode,Dispersal_mode_source,Log10_dispersal_dist_m,Disperal_dist_source,Range_extent_ID,Range_rource,Elevation_range,Elevation_Source,Raunkier,Raunkier_source,Pollination,Pollination_source
Luzula acutifolia,Cyperaceae,Luzula,acutifolia,Dwarf Woodrush,Graminoid,,,1,4,,258,M Good Hotham,Perennial,KM,50,BHP,8.3,M Good Hotham,Y,KM,0.33,JM,None,JM,-0.625748654,JM SV,3,KM,1,KM,H,,Wind,JM
Montia australasica,Portulacaceae,Montia,australasica,,Forb,30,100,,4,Flora of NSW (book or PlantNet),46.6,C Pickering Main Range,Perennial,KM,14.8,C Pickering Main Range,14.5,C Pickering Main Range,Y,KM,0.75,JM,Water,JM,-0.625748654,JM SV,5,KM,5,KM,H,,Not Wind,JM
Olearia brevipedunculata,Asteraceae,Olearia,brevipedunculata,,Shrub,5,16.5,2,6.5,Flora of NSW (book or PlantNet),15.9,C Pickering Main Range,Perennial,KM,336.4,C Pickering Main Range,12,C Pickering Main Range,Y,KM,0.7,Kew,Wind,JM,1.890564058,JM SV,3,KM,3,KM,P,,Not Wind,JM
Oreobolus distichus,Cyperaceae,Oreobolus,distichus,Fan Tuft-rush,Graminoid,8,50,0.5,1.2,Flora of NSW (book or PlantNet),26.1,C Pickering Main Range,Perennial,KM,2.8,C Pickering Main Range,7.6,C Pickering Main Range,Y,KM,0.95,JM,None,JM,-0.534155282,JM SV,5,KM,4,KM,H,,Wind,JM
Oreomyrrhis ciliata,Apiaceae,Oreomyrrhis,ciliata,Bog Caraway,Forb,10,90,5,30,Flora of NSW (book or PlantNet),210,C Pickering Main Range,Perennial,KM,68,C Pickering Main Range,10.7,C Pickering Main Range,Y,KM,1.7,LG,None,JM,-0.276574133,JM SV,5,KM,4,KM,H,,Not Wind,JM
Oreomyrrhis eriopoda,Apiaceae,Oreomyrrhis,eriopoda,Australian Caraway,Forb,250,1500,10,80,Flora of NSW (book or PlantNet),834,C Pickering Main Range,Perennial,KM,87.2,C Pickering Main Range,9.5,C Pickering Main Range,Y,KM,4.7,LG,None,JM,-0.276574133,JM SV,5,KM,5,KM,H,,Not Wind,JM
Oreomyrrhis pulvinifica,Apiaceae,Oreomyrrhis,pulvinifica,Cushion Caraway,Forb,5,20,4,15,Flora of NSW (book or PlantNet),39.7,C Pickering Main Range,Perennial,KM,18.1,C Pickering Main Range,14.8,C Pickering Main Range,,,0.91,LG,None,JM,-0.490669511,JM SV,2,KM,1,KM,H,,Not Wind,JM
Orites lancifolia,Epacridaceae,Orites,lancifolia,Alpine Orites,Shrub,10,30,3,8,Flora of NSW (book or PlantNet),189.7,C Pickering Main Range,Perennial,KM,645.3,C Pickering Main Range,4.1,C Pickering Main Range,Y,KM,6.5,LG,Ballistic,JM,2.865096854,JM SV,3,KM,4,KM,C,,Not Wind,JM
Oxylobium ellipticum,Fabaceae,Oxylobium ,ellipticum,Common Shaggy Pea,Shrub,5,30,3,10,Flora of NSW (book or PlantNet),44.9,C Pickering Main Range,Perennial,KM,238.9,C Pickering Main Range,12.9,C Pickering Main Range,Y,KM,3.95,LG,Ballistic,JM,1.442987078,JM SV,5,KM,4,KM,P,,Not Wind,JM
Pentachondra pumilio,Epacridaceae,Pentachondra,pumilio,Carpet Heath,Shrub,3,6,1,2,Flora of NSW (book or PlantNet),7.5,C Pickering Main Range,Perennial,KM,44.5,C Pickering Main Range,8.9,C Pickering Main Range,,,1.17,LG,Animal,JM,2.281294507,JM SV,3,KM,2,KM,C,,Not Wind,JM
Picris angustifolius,Asteraceae,Picris,angustifolius,,Forb,,,,,,800,,Perennial,,150,Estimate,20,Estimate,,,0.18,Kew,Wind,JM,1.181220203,JM SV,5,KM,5,KM,H,,Not Wind,JM
Pimelea axiflora,Thymeleaceae,Pimelea,axiflora,,Shrub,5,18,3,7,Flora of NSW (book or PlantNet),68.5,C Pickering Main Range,Perennial,KM,40.8,C Pickering Main Range,19.2,C Pickering Main Range,Y,KM,2.93,LG,None,JM,0.44534686,JM SV,3,KM,3,KM,P,,Not Wind,JM
Pimelea ligustrina,Thymeleaceae,Pimelea,ligustrina,Kosciuszko Rose ,Shrub,15,40,,,Flora of NSW (book or PlantNet),231.2,C Pickering Main Range,Perennial,KM,466.2,C Pickering Main Range,13.3,C Pickering Main Range,Y,KM,2.17,LG,None,JM,0.679974685,JM SV,3,KM,3,KM,P,,Not Wind,JM
Plantago muelleri,Plantaginaceae,Plantago,muelleri,Star Plantain,Forb,25,80,7,15,Flora of NSW (book or PlantNet),487.3,C Pickering Main Range,Perennial,KM,29.1,C Pickering Main Range,8.34,C Pickering Main Range,Y,KM,0.49,LG,None,JM,-0.804313569,JM SV,3,KM,2,KM,H,,Not Wind,JM
Poa costiniana,Poaceae,Poa,costiniana,Prickly Snow-grass,Graminoid,1,3,0.3,1.75,Flora of NSW (book or PlantNet),386.3,M Good Hotham,Perennial,KM,124.8,C Pickering Main Range,5.17,M Good Hotham,Y,KM,0.26,JM,None,JM,-0.141494989,JM SV,5,KM,4,KM,H,,Wind,JM
Poa fawcettiae,Poaceae,Poa,fawcettiae,Smooth-blue Snow-grass,Graminoid,0.5,1.5,,1,Flora of NSW (book or PlantNet),,,Perennial,KM,,,,,,,,,,,,,,,,,H,,Wind,JM
Poa hiemata,Poaceae,Poa,hiemata,Soft Snow-grass,Graminoid,,0.5,,1,,550.9,M Good Hotham,Perennial,KM,158.9,C Pickering Main Range,15.23,M Good Hotham,Y,KM,0.36,JM,None,JM,-0.220511223,JM SV,5,KM,4,KM,H,,Wind,JM
Podocarpus lawrencei,Podocarpaceae,Podocarpus,lawrencei,,Shrub,,,,,,26.6,P Vesk Falls Creek,Perennial,,57,C Pickering,343.9,P Vesk Falls Creek,Y,KM,0.35,JM,None,JM,-0.141494989,JM SV,3,KM,4,KM,H,,Wind,JM
Podolepis robusta,Asteraceae,Podolepis,robusta,Alpine Podolepis,Forb,40,200,15,55,Flora of NSW (book or PlantNet),10.1,C Pickering Main Range,Perennial,KM,572.1,C Pickering Main Range,4.5,C Pickering Main Range,,,13.93,LG,Animal,JM,,,3,KM,4,KM,P,,Wind,JM
